id;short_caption;gun_short;gun_name;distance_1;distance_2;total_shoot;series;caption;measure;rank;sex;value
1;ВП-20;ВП;винтовка пневматическая;10;;20;1; 20 выстрелов с упора лежа;Очки;III;Ж;165
2;ВП-20;ВП;винтовка пневматическая;10;;20;1; 20 выстрелов с упора лежа;Очки;III;М;165
3;ВП-30;ВП;винтовка пневматическая;10;;30;1; 30 выстрелов лежа ;Очки;II;Ж;288
4;ВП-30;ВП;винтовка пневматическая;10;;30;1; 30 выстрелов лежа ;Очки;II;М;291
5;ВП-40;ВП;винтовка пневматическая;10;;40;1; 40 выстрелов стоя ;Очки;II;Ж;372
6;ВП-40;ВП;винтовка пневматическая;10;;40;1; 40 выстрелов стоя ;Очки;II;М;376
7;ВП-40;ВП;винтовка пневматическая;10;;40;1; 40 выстрелов стоя ;Очки;I;Ж;381
8;ВП-40;ВП;винтовка пневматическая;10;;40;1; 40 выстрелов стоя ;Очки;I;М;383
9;ВП-40;ВП;винтовка пневматическая;10;;40;1; 40 выстрелов стоя ;Очки;КМС;Ж;386
10;ВП-40;ВП;винтовка пневматическая;10;;40;1; 40 выстрелов стоя ;Очки;КМС;М;388
11;ВП-60;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки;I;Ж;564
12;ВП-60;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки;I;М;566
13;ВП-60;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки;КМС;Ж;580
14;ВП-60;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки;КМС;М;582
15;ВП-60;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки;МС;Ж;590
16;ВП-60;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки;МС;М;592
17;ВП-60_д;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки с учетом десятых;I;Ж;584
18;ВП-60_д;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки с учетом десятых;I;М;588
19;ВП-60_д;ВП;винтовка пневматическая;10;;60;1; 60 выстрелов стоя ;Очки с учетом десятых;КМС;Ж;603
