id;name;name_gun;distance1;distance2;series;total_shoot;caption;measure;msmk_m;msmk_f;ms_m;ms_f;kms_m;kms_f;1_m;1_f;2_m;2_f;3_m;3_f
1;ВП-20;винтовка пневматическая;10;0;1;20;20 выстрелов с упора лежа;Очки;0;0;0;0;0;0;0;0;0;0;165;165
2;ВП-30;винтовка пневматическая;10;0;1;30;30 выстрелов лежа;Очки;0;0;0;0;0;0;0;0;291;288;0;0
3;ВП-40;винтовка пневматическая;10;0;1;40;40 выстрелов стоя;Очки;0;0;0;0;388;386;383;381;376;372;0;0
4;ВП-60;винтовка пневматическая;10;0;1;60;60 выстрелов стоя;Очки;0;0;592;590;582;580;566;564;0;0;0;0
5;ВП-60_д;винтовка пневматическая;10;0;1;60;60 выстрелов стоя;Очки с учетом десятых;626;625.5;615;613;605;603;588;584;0;0;0;0
6;ВП-40+40;винтовка пневматическая;10;0;2;40;40 выстрелов стоя, пара смешанная;Очки с учетом десятых;417.5;417;414;412.5;410;408;0;0;0;0;0;0
7;ВП/ДМ-20;винтовка пневматическая;10;0;1;20;20 выстрелов, движущаяся мишень, медленная скорость;Очки;0;0;0;0;0;0;180;175;170;165;160;155
8;ВП/ДМ-60;винтовка пневматическая;10;0;2;60;60 выстрелов (30+30), движущаяся мишень, медленная и быстрая скорости;Очки;578;565;566;550;550;535;535;510;0;0;0;0
9;ВП/ДМ-40 микс;винтовка пневматическая;10;0;2;40;40 выстрелов (20+20), движущаяся мишень, медленная и быстрая скорости - микс;Очки;386;372;376;362;366;352;350;335;320;310;310;300
10;МВ-20;винтовка малокалиберная;25;50;1;20;20 выстрелов с упора лежа;Очки;0;0;0;0;0;0;0;0;0;0;170;166
11;МВ-30;винтовка малокалиберная;25;50;1;30;30 выстрелов лежа;Очки;0;0;0;0;0;0;285;282;260;257;0;0
12;МВ-3х20;винтовка малокалиберная;50;0;3;60;60 выстрелов (3х20), три положения;Очки;0;0;0;0;570;565;548;543;0;0;0;0
13;МВ-3х40;винтовка малокалиберная;50;0;3;120;120 выстрелов (3х40), три положения;Очки;1173;1168;1149;1144;1129;1124;1100;1085;0;0;0;0
14;МВ-60;винтовка малокалиберная;50;0;1;60;60 выстрелов лежа;Очки;0;0;0;0;590;588;584;582;579;577;0;0
15;МВ-60_д;винтовка малокалиберная;50;0;1;60;60 выстрелов лежа;Очки с учетом десятых;626;624;619;617;616;614;611;609;605;603;0;0
16;МВ/ДМ-20;винтовка малокалиберная;50;0;1;20;20 выстрелов, движущаяся мишень, медленная скорость;Очки;0;0;0;0;0;0;182;0;172;0;162;0
17;МВ/ДМ-40;винтовка малокалиберная;50;0;2;40;40 выстрелов (20+20), движущаяся мишень, медленная и быстрая скорости;Очки;0;0;385;0;375;0;365;0;353;0;343;0
18;МВ/ДМ-40 микс;винтовка малокалиберная;50;0;2;40;40 выстрелов (20+20), движущаяся мишень, медленная и быстрая скорости - микс;Очки;390;0;382;0;372;0;362;0;0;0;0;0
19;МВ/ДМ-60;винтовка малокалиберная;50;0;2;60;60 выстрелов (30+30), движущаяся мишень, медленная и быстрая скорости;Очки;585;0;577;0;565;0;555;0;0;0;0;0
20;КВ-3х20;винтовка крупнокалиберная;300;0;3;60;60 выстрелов (3х20), три положения;Очки;578;0;565;0;547;0;530;0;0;0;0;0
21;КВС-3х20;винтовка крупнокалиберная;300;0;3;60;60 выстрелов (3х20), скоростная стрельба, три положения (2х10 - 120 секунд с колена, 90 секунд лежа, 120 секунд стоя);Очки;570;0;565;0;545;0;535;0;0;0;0;0
22;КВП-3х20;произвольная винтовка крупнокалиберная;300;0;3;60;60 выстрелов (3х20), три положения;Очки;0;0;570;0;560;0;545;0;0;0;0;0
23;КВП-3х40;произвольная винтовка крупнокалиберная;300;0;3;120;120 выстрелов (3х40), три положения;Очки;1162;0;1145;0;1125;0;1100;0;0;0;0;0
24;КВП-60;произвольная винтовка крупнокалиберная;300;0;1;60;60 выстрелов лежа;Очки;596;0;590;0;585;0;580;0;0;0;0;0
25;ПП-20;пистолет пневматический;10;0;1;20;20 выстрелов стоя с упора (штатив);Очки;0;0;0;0;0;0;0;0;0;0;173;169
26;ПП-30;пистолет пневматический;10;0;1;30;30 выстрелов;Очки;0;0;0;0;0;0;0;0;262;257;252;247
27;ПП-40;пистолет пневматический;10;0;1;40;40 выстрелов;Очки;0;0;0;0;376;368;363;358;350;343;0;0
28;ПП-60;пистолет пневматический;10;0;1;60;60 выстрелов;Очки;585;577;577;567;565;555;545;537;0;0;0;0
29;ПП-40+40;пистолет пневматический;10;0;1;40;40 выстрелов, пара смешанная;Очки;387;385;382;378;376;368;0;0;0;0;0;0
30;МП-20;пистолет малокалиберный стандартный;25;0;1;20;20 выстрелов, неподвижная мишень;Очки;0;0;0;0;0;0;0;0;182;177;177;175
31;МП-30;пистолет малокалиберный стандартный;25;0;1;30;30 выстрелов, неподвижная мишень;Очки;0;0;0;0;0;0;279;272;273;266;0;0
32;МП-30C;пистолет малокалиберный стандартный;25;0;1;30;30 выстрелов, скоростная стрельба, 3 секунды на выстрел;Очки;0;0;0;0;0;0;284;281;277;274;270;267
33;МП-60;пистолет малокалиберный стандартный;25;0;2;60;60 выстрелов (30+30);Очки;0;582;580;575;570;564;560;552;550;540;0;0
34;МП-30СС;пистолет малокалиберный стандартный;25;0;1;30;30 выстрелов, скоростная стрельба по 5 мишеням, 8-6-4 секунды;Очки;0;0;0;0;282;0;277;0;272;0;0;0
35;МП-60CC;пистолет малокалиберный стандартный;25;0;2;60;60 выстрелов (2х30), скоростная стрельба по 5 мишеням, 8-6-4 секунды;Очки;582;0;570;0;560;0;550;0;540;0;0;0
36;МП-60М;пистолет малокалиберный стандартный;25;0;3;60;60 выстрелов (20+20+20), ограниченное время 150-20-10 секунд;Очки;583;0;575;0;570;0;550;0;540;0;0;0
37;МПП-30;пистолет малокалиберный произвольный;50;0;1;30;30 выстрелов;Очки;0;0;0;273;0;262;0;252;0;243;0;235
38;МПП-30+30;пистолет малокалиберный произвольный;50;0;1;60;60 выстрелов, пара смешанная;Очки;0;0;276;273;270;262;258;252;250;243;240;235
39;МПП-40;пистолет малокалиберный произвольный;50;0;1;40;40 выстрелов;Очки;0;0;368;0;360;0;345;0;335;0;320;0
40;МПП-60;пистолет малокалиберный произвольный;50;0;1;60;60 выстрелов;Очки;565;0;552;0;540;0;530;0;515;0;0;0
41;КП-60;крупнокалиберный пистолет или револьвер;25;0;2;60;60 выстрелов (30+30);Очки;590;0;585;0;577;0;562;0;0;0;0;0
